location,地點名稱,經度,緯度,方位角
1,頂樓一號,121.54444444444444,23.899444444444445,181.0
2,頂樓二號,121.54472222222222,23.899722222222223,175.0
3,頂樓三號,121.545,23.899722222222223,180.0
4,頂樓四號,121.54444444444444,23.899444444444445,161.0
5,頂樓五號,121.54472222222222,23.899444444444445,208.0
6,頂樓六號,121.54444444444444,23.899444444444445,208.0
7,頂樓七號,121.54444444444444,23.899444444444445,172.0
8,D303,121.545,23.899722222222223,219.0
9,E303,121.54444444444444,23.899444444444445,151.0
10,一樓一號,121.54444444444444,23.899444444444445,223.0
11,一樓二號,121.54472222222222,23.899722222222223,131.0
12,一樓三號,121.54472222222222,23.899722222222223,298.0
13,管理一號,121.53944444444444,23.897777777777776,249.0
14,管理二號,121.53944444444444,23.897777777777776,197.0
15,美崙一號,121.61722222222221,24.009166666666665,127.0
16,美崙二號,121.61722222222221,24.00888888888889,82.0
17,自家倉庫,121.6,23.983333333333334,185.125
